StoreNumber,BatchNumber,SKU,ONHAND,ScannedCnt,Diff,BatchPass,BatchPassDecr,DateCreated
134,5,9844960,2,2,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9890223,3,2,1,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,1001539,3,2,1,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,1965995,2,2,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,2117671,2,1,1,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,2981899,1,1,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,3290618,2,3,-1,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,6443183,5,5,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,6707473,1,1,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,6916457,1,1,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,7347953,2,2,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,7351071,2,1,1,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,7480304,1,1,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,7677177,2,2,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,7740929,3,3,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,8367381,1,2,-1,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,8397017,3,2,1,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,8883548,2,2,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,8901870,1,1,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,8902937,1,1,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,8913051,2,2,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,89486637,2,2,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9135836,3,3,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9194199,1,1,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9205133,2,1,1,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9219147,3,2,1,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9229180,2,3,-1,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9229889,1,1,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9237418,1,1,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9237419,1,2,-1,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9268779,2,2,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9297673,3,3,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9305278,4,4,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9500539,3,3,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9521193,1,1,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9548511,6,6,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9553822,3,3,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9599498,3,2,1,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9609222,2,2,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9615574,4,3,1,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9647201,4,3,1,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9723036,4,4,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9777613,3,2,1,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9777669,2,2,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9778628,3,3,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9816811,4,4,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9933797,2,2,0,1,Batch Pass 1,2022-08-12 10:49:56.250
